,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
20,SMAD9,0.7010449438596457,HUWE1,1.2267231158103653,ZNF185,1.120187913338332,ATP1B3A,1.0371562068399036,ANKRD12,0.6455290678539419,IFI30,0.666362073184998,SI:DKEY-261M9.15,0.6792729652259395,AMOTL2A,0.6640589593325691,FP236812.1,0.8161491213958086,SI:CH211-271G18.4,0.5485595285573506,BX511215.1,0.5912547602803434,ISG15,0.6831239600475488,KAZALD2,0.5264767791216711,ANKRD16,0.5347132108980504,RPS18,0.744721694177822,PGAM1A,0.5829613108623959,SI:CH1073-80I24.3,0.7235382639256267,UPK1A,0.5750966556244809,JAKMIP2,0.8051742462484659
21,VENT,0.6978231106432158,ZNF1068,1.2145542926002169,FTR82,1.1058184234476636,HER1,1.001857280542945,DAZL,0.6252659620351961,PRKRIP1,0.6450716185825696,STM,0.6773957141759287,SI:CH211-276A17.5,0.654304869053961,SI:CH211-195B11.4,0.816111157586883,HNRNPA0A,0.5474355831466284,CA9,0.581463680008348,BCL3,0.6778777108778384,BTG4,0.5261817018211059,DUSP4,0.5344493959294443,ZGC:91910,0.7434823786301077,ZNF1125,0.5788330248848145,SP5L,0.7107335954137219,MYLK4B,0.5634996397925776,NFKBIL1,0.7900741347506897
22,KLF2B,0.679834417260665,SI:CH211-168H21.2,1.2064914135016152,ZGC:153911,1.0839232662964895,HES6,0.9991515486987763,SEPSECS,0.6170070554060678,ITSN2B,0.6289089615745312,SLC35A4,0.6765845299297275,FAM13A,0.6349162767990002,TM4SF19,0.8130699870094257,SI:DKEY-7J22.4,0.5452744871923754,SI:CH211-113A14.26,0.5717481520992833,SNX11,0.6721013886908787,ZGC:56231,0.5259528721385363,B3GNT8,0.5335859004743094,ENSDART00000133990,0.7421570431444483,DNMT3BB.1,0.577540487048841,MYCN,0.7050639678627083,TMEM8C,0.560319804585904,SI:DKEY-58J15.10,0.7883555241208559
23,SESN3,0.6726045628744816,MLXIP,1.1930079816703902,STARD14,1.076960772617238,ARL4AB,0.983636043568934,COIL,0.6145506982566006,CDKN1BB,0.6258340224404758,RPS17,0.6760829877995504,TCF3B,0.6248822793431039,SI:DKEY-108K21.27,0.8126773508350842,CR450785.2,0.5437898888871249,ZNF985,0.5453668083665141,PLEKHN1,0.6690884835005263,SI:RP71-45K5.2,0.513701378903847,FTR82,0.5335534300582268,SRSF1A,0.7413921342092674,SI:DKEY-156K2.3,0.5738338317406279,PSMA4,0.6849887167761093,SI:CH211-217K17.9,0.5499327708730635,SCOCB,0.7819577177388077
24,SLC35E1,0.6716555857850071,DDC,1.1905168144019096,FTR83,1.0760290592048414,SI:DKEY-27I16.2,0.9741710084093101,FHDC3,0.6017486539913717,SFRP1A,0.6201711220971152,SI:CH1073-159D7.7,0.665640173006364,ETS2,0.6239633468861187,SI:CH73-36P18.3,0.811397955440192,SI:DKEY-15H14.4,0.5413211721336051,SI:DKEYP-14F10.3,0.5437706239526208,LNX1,0.6663679473191384,FHDC3,0.5111801862850348,AK4,0.529273744614495,CDKN1BB,0.7387746479574758,NDRG3B,0.5733322015619072,TNS3.2,0.6848926687798224,FA2H,0.5470845540966441,HCK,0.7765797308781313
25,ATP2A3,0.6635240287181967,CR318603.2,1.1822126489202294,GRHL3,1.0729783628422978,MSX3,0.9466793761662052,NEK2,0.6017475045213483,RND1L,0.6192748889894019,RPL11,0.6623146547834704,LFNG,0.6166557815671059,SI:DKEY-193H7.5,0.8104178671223614,SI:DKEY-261J4.3,0.5407775471854954,RAB35,0.5436408869213741,RGS20,0.6170309675970059,CLDNG,0.505012982470405,ZNRF2,0.5291147614865851,SI:CH211-105D18.7,0.7310259528188822,SI:DKEY-1D7.3,0.5646875185922837,SI:CH211-170D8.2,0.6843215306435562,RNF220B,0.5305394014225944,FTR36,0.7740934838113379
26,RBM27,0.6489262220192841,SETD2,1.1704556579003933,KLF17,1.0663118607116124,LEF1,0.9350864029693714,ZGC:158852,0.6008090459161709,FXYD6,0.6163068060220397,RPL23,0.656222129971471,GLT8D1,0.6114273599642819,ZGC:163040,0.8027347678048173,SI:DKEY-56M15.3,0.5404315718429009,CEP135,0.5285131065575691,GADD45AA,0.6038294122884836,SLC25A25A,0.5006595118040172,ELP4,0.5238086263571983,SI:CH211-267E7.11,0.7266386676797228,CR391944.1,0.553633128804349,CDH2,0.6774580118216964,ZGC:91849,0.5258090178733619,ATCAYB,0.7729305075062843
27,ARID1AB,0.6484362345231938,ZNF1057,1.1644324091891747,CLDNF,1.0660551313787086,ADGRL2A,0.9260032717225823,CLDNG,0.5953909695540647,GSTO2,0.6097920541431121,ZGC:158463,0.6524735295384406,TIAM1B,0.6108090020139124,SI:DKEY-153M14.1,0.8018577194141624,SOX32,0.5390045655702083,SI:CH211-113A14.18,0.5278681549187285,RASL11B,0.5946757817216392,LASP1,0.5004311061744637,SI:DKEY-1D7.3,0.5178309806670466,FTL,0.7220106081191887,ZGC:77112,0.5515356513101569,PPIAB,0.6674240270288114,GBP3,0.5251013147300183,TRIM45,0.7625318904030601
28,CAPRIN2,0.6463495033776563,SI:DKEYP-79B7.4,1.1616319404768907,PERP,1.0578846385784983,LAMB1A,0.8964579606638643,MID1IP1L,0.5952017653742309,CABZ01066717.2,0.6046151197612946,RPLP1,0.6518877321342214,PRKAR1AA,0.609159408863594,SI:DKEY-261M9.12,0.7925494273456691,BX324155.1,0.5349687319898796,TDRD15,0.5240223159146143,SI:DKEY-117J14.6,0.5723690648276332,ZNF1060,0.4987772886303391,SI:CH1073-205C8.3,0.5168035711922563,ELAVL1,0.7095245473960631,BX511215.1,0.548981061820154,SLC38A3B,0.6627462439995033,ZNF644B,0.5242532674514899,KLHL22,0.75344893499932
29,IPO9,0.6409498120287365,CYR61L2,1.1485651074044252,CYT1L,1.0502324765968383,SI:DKEY-261J4.3,0.8728600495936226,VAT1,0.592129708529459,ENSDART00000129497,0.6031933696439452,TMEM258,0.6508424976400804,LRIG3,0.6083937303172415,SI:CH211-271G18.4,0.7916643218222605,SLC3A2B,0.5340853968963082,GOLGA4,0.5218280815600733,ZGC:92360,0.5630387987547141,BCL2L10,0.4979691443506035,TDRD7A,0.5157559500654023,BX640584.2,0.7039712679351098,ALDOAA,0.5488246954144087,SOX3,0.641646608898977,SI:CH211-166A6.5,0.52015738345573,ARID3A,0.7522369792454972
