,0,1,2,3,4,5,6,7,8,9,10,11,12
SI:CH211-190K17.31,0.048264254357155895,0.02674109174629789,0.055877142472099885,0.05295610388133637,0.0,0.0,0.483280046019122,0.0,0.12802473861826116,0.1701462384305172,0.39099545770210836,1.054762235154431,0.23418753100036646
SI:DKEYP-3B12.8,0.0,0.0,0.034453883999039724,0.046230093635296066,0.0,0.01100349390546778,0.445234470201711,0.0,0.5009365776691669,0.05251422973588745,0.4769261374143299,0.3834736583156679,0.0
FAM78BB,0.0,0.0,0.04490033188818596,0.07214559918794475,0.050121620078619186,0.0,0.5059627094586475,0.0,0.30307906163993764,0.17237746654111744,0.21857655189382616,1.064441686638397,0.06852755007484458
CABZ01111915.1,0.0,0.0,0.0,0.09384549707483768,0.0,0.0,0.11835076661776198,0.10016587588988832,0.39268200824010246,0.0930740098481241,0.14715437876419926,0.9135673913288404,0.27342812966003865
WDR21,0.08820813322325968,0.0,0.007858649798579918,0.011809155966612967,0.16422168513303176,0.0,0.3753022777550631,0.14280503210056172,0.12133663448139757,0.14727950776961074,0.5653769558610783,0.7559076147300403,0.16171521430784555
SI:DKEY-95P16.2,0.09279505464360878,0.0,0.010995290701798723,0.209530633205283,0.0,0.030465342769097188,0.32350254357764385,0.25800855979322757,0.6409315701206111,0.10331421314812754,0.1664158731508052,0.9231822967794661,0.0
NCALDA,0.06478410352323909,0.0,0.16292205754664177,0.060888048008589886,0.16054238317032027,0.0,0.5565076170951627,0.11831668410598901,0.06188292076087647,0.14109717523976464,0.4146039767890299,1.117128964111094,0.05117463841008316
SI:DKEY-15H14.4,0.0,0.004498830833648587,0.0,0.0,0.0,0.0,0.4407837976804941,0.0,0.12315629932106806,0.1877413411715884,0.3608520634799667,1.0472105935865639,0.30778709511654945
SI:CH211-117M22.2,0.0,0.0,0.18845583257457826,0.0,0.05194179734613539,0.0,0.5124902858069703,0.0,0.7077150474569974,0.0,0.5838960827828058,0.45545097192284695,0.17248041781666856
SI:DKEY-23A13.18,0.34918035080708704,0.46817737770763174,0.07826550794862287,0.24494881667054222,0.19669445234692617,0.3077175833323997,0.3232627412641717,0.2232650736799512,0.6881624586591518,0.07187887829594419,0.4396709314332916,0.20506103712713747,0.1072623656959265
NDUFB4,0.0,0.0,0.0,0.0,0.08572659137122682,0.029265999685159402,0.1303895561563472,0.01955445247475407,0.26715750026525714,0.23045198842187598,0.10495645665335243,0.8059132427737342,0.0
MCL1B,0.0,0.14434256768550738,0.4681293538848027,0.0694003939748379,0.09571882511368521,0.0,0.4651443165060382,0.0,0.16529815885660756,0.01813990738911734,0.5198420628877164,0.8898500249084279,0.19211072363493784
RPL6,0.0,0.0001734025956318154,0.14000532168430915,0.21873555173077433,0.11547474867714116,0.007097624687793176,0.5150739481277979,0.17618198042486002,0.6421233337905007,0.22802760326553748,0.15082709529051969,0.8219831999816662,0.05959128727082559
PDIA3,0.1274602344249645,0.0,0.03209642195465662,0.2380364321868611,0.15476611658524492,0.026050418581699646,0.598393781751407,0.051939485583558535,0.40941658252998697,0.24908606531398114,0.44926491263586416,0.6576976408966717,0.06837411779369756
