,0,1,2,3,4,5,6,7,8,9,10,11,12,13
SI:DKEYP-3B12.8,0.0,0.0,0.020118863524115245,0.059510838721077805,0.0,0.0,0.44320056190159723,0.0,0.5276689976618489,0.05241123412422723,0.46071011113989035,0.3168042898216829,0.17549934350653376,0.0
FAM78BB,0.0,0.0,0.03049983513769234,0.08750245033485934,0.0,0.0,0.5018258268192443,0.0,0.3219748105528104,0.17723004505541878,0.23324077320227454,0.9725088587138534,0.2814711626858431,0.08157232689168704
CABZ01111915.1,0.0,0.0,0.0,0.09274455127325644,0.0,0.0,0.10669250135214187,0.0896428284490779,0.4170190412524178,0.0924671242694941,0.15559409565102028,0.8634394599283975,0.1709807972236238,0.26023946363960326
WDR21,0.08757053218492278,0.0,0.0074458681377637505,0.0,0.14905644014096905,0.0,0.3636512341204904,0.10639241294293683,0.1590739435343399,0.13896043437501718,0.563724778966102,0.7424027968866783,0.20935433542089715,0.12754978687606358
SI:DKEY-95P16.2,0.09242345833604444,0.0,0.017770041238928534,0.19634066502189387,0.0,0.04096769820051293,0.3267937385774572,0.2452647840254773,0.6630752285614938,0.09393631927908763,0.16427392543033467,0.9219525212146763,0.040152830009215046,0.0
NCALDA,0.04051882876098034,0.0,0.16564023617427484,0.05320300204240425,0.14482728699880995,0.0,0.5554067188854355,0.09692921747346533,0.09184957312192575,0.13561035915094696,0.4185517020552042,1.0829553053456227,0.25149818041791294,0.03997262621952007
SI:DKEY-15H14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.443879787318611,0.0,0.1378961341223832,0.19653705491320808,0.3636312681194254,0.9828177143209706,0.19835220546169832,0.30514476862341794
SI:CH211-117M22.2,0.0,0.0,0.175670429613189,0.0,0.0,0.0,0.5123939758260248,0.0,0.7307433944575144,0.0,0.5914891880098682,0.3700227075440796,0.23668009025207,0.1812141379930028
SI:DKEY-23A13.18,0.34707834186405273,0.4695674296002955,0.07473971635939691,0.22145182651429743,0.18398807028618522,0.31258195775209785,0.3265398091819476,0.2149429131174969,0.7033626037986381,0.06412348072116686,0.4231151982671848,0.20431799423881344,0.14242110386845513,0.11464277351415329
NDUFB4,0.0,0.0,0.0,0.0,0.025279493852315923,0.019973751761333144,0.11943177024078248,0.012022671990840507,0.29447141210344396,0.23332341228235426,0.10800528069008943,0.7581446419018039,0.21491489602275915,0.0
MCL1B,0.0,0.12424921517258516,0.4725839393027815,0.07722415569518601,0.10286855645248044,0.0,0.4541175383247536,0.0,0.18466127388942144,0.008441263662995723,0.5234687462848107,0.8417044798369419,0.200547544790947,0.18513747691765933
RPL6,0.0,0.0,0.13925455330187247,0.1938881958170425,0.13821387867309745,0.026598378537670487,0.5128490229708209,0.14349871591584218,0.6624845369457271,0.21177835364548367,0.14158049764102304,0.8289827981459289,0.07232727989864149,0.06580766042685153
PDIA3,0.13020803012972382,0.0,0.027726560702385047,0.25018776024163825,0.08631323216857638,0.00425298022474937,0.5974143453229322,0.06345817283449005,0.42286774441843256,0.2515476783070522,0.44540205753837,0.6029801603928266,0.26682140194709447,0.0614695594922379
SI:CH1073-190K2.1,0.0,0.0,0.06628824930963403,0.054282792972840464,0.0,0.0,0.7923890875499578,0.0,0.19123125451033804,0.11799566499202441,0.6156228459308198,0.4439648274331217,0.0,0.0
