,0,1,2,3,4,5,6,7,8,9
SI:DKEY-53F14.4,0.5905050212069449,0.03869927508441549,0.03988700004732374,0.12813162327535368,0.01920363581592038,0.15145894303777466,0.659939522074994,0.21242346439450918,0.4610134261032361,0.1920835998825876
MCC,0.6485576327947842,0.0100016602913927,0.25025081649780684,0.2275125564165218,0.08437263088618378,0.19750294569820495,0.3641482805691753,0.3514993357930996,0.46324061770604086,0.16411024873383384
BZW1A,0.9796085857770441,0.07964896962305675,0.11458077906277048,0.21143145547423953,0.05551395829069519,0.0,0.5718595137596514,0.3128297995260603,0.270425271481225,0.1993197143831624
GDF3,1.0396261722626199,0.04027549513493125,0.08066148792373365,0.07455664514016085,0.25006890693375783,0.0,0.4680269925808643,0.34471742330914146,0.3858977576149446,0.27140081013955925
BIRC5B,0.8632174516369245,0.0,0.18168407370709427,0.11637386566368534,0.3441652054672906,0.0,0.3301635008115319,0.3889895363293899,0.0,0.3023137795277156
CNIH4,0.6083926561467203,0.0,0.04811306275954817,0.28683785057206207,0.040441804669341795,0.0,0.140765761803582,0.22886755028088476,0.5972836494473668,0.27912989784587755
SI:DKEY-23A13.16,0.12877692814797906,0.5680873500001179,0.011211629667137613,0.39626962868237303,0.25816687639349484,0.45911842591225627,0.4569668177095811,0.4147391556987693,0.48332514249014236,0.11084506858513811
KRT97,0.36967656821939365,0.0,1.3131463666355387,0.12874719825732658,0.030823857245764807,0.0,0.23715245805239613,0.07565460528074837,0.5715308085478233,0.2909517326336181
EIF3JA,0.5627329157833355,0.06617978527853777,0.13712249019176279,0.26466819886728554,0.251497830407527,0.0,0.7190720388839557,0.2055808380014701,0.3158358695287754,0.14030536057520102
SI:DKEY-47K16.4,0.6051344949247843,0.0,0.0,0.14045141650850557,0.0,0.0,0.2762158075173039,0.3983540495607813,0.48076946335523124,0.004508718706635384
PTGFR,0.3327283551840313,0.502096209191914,0.1518073226311406,0.12353451395099421,0.5111403301704761,0.2728733398813741,0.0,0.3722090911631227,0.348037620131864,0.0
TWF1,0.5632662978468145,0.0,0.1089190810133516,0.08617865257502327,0.3299948453475008,0.0,0.37156905982807165,0.24311916584278626,0.29500265914873997,0.12819327693078822
ZNF1034,0.4615333145816996,0.0,0.0,0.010082176874675223,0.15443358157636658,0.1782248430682903,0.39540865798141833,0.18292372134402046,0.319622865969557,0.18273575317236768
SI:CH211-53F16.1,0.5444344864645521,0.0,0.0,0.10779677249852197,0.0888417622311155,0.0,0.40157293851575504,0.13538609517247585,0.47586650902569505,0.0748129760867818
PPP1CBL,0.5440440164453579,0.17210003197609786,0.25089163569624484,0.08631119138881244,0.14255270572848933,0.08925703500818286,0.5654657122810088,0.2054075495752613,0.38598003127264613,0.15775447954426297
ZNF986,0.8806370650118682,0.0,0.0022571211672768607,0.1947886451870917,0.18991130672902315,0.0,0.27602131031984894,0.18282590956367503,0.3622917428933547,0.12010125197374584
SI:CH211-212K5.1,0.7088640959737448,0.0,0.07653792401904454,0.0,0.0,0.11779470193583563,0.3029499545591012,0.3418001478729104,0.30246139646895215,0.0
POLE2,0.6663885610060563,0.0,0.10631313323206275,0.12609008038288544,0.20334022145028063,0.08834906552021118,0.5098125975032071,0.27342068175861667,0.20633155541902778,0.0
ALAS1,0.5523168774728252,0.1629315653690659,0.5199950074124055,0.27784145101775304,0.08855571753921285,0.1229569437648137,0.39110981635306535,0.32049348785460735,0.4964837482472309,0.1827852623441531
SI:DKEY-54J5.2,0.7651850065131989,0.0,0.0,0.15067529220072698,0.0,0.08095435950588875,0.27907064820263555,0.17345031484172416,0.26507525666955783,0.07180001364031656
BX470200.3,0.706059013724081,0.0,0.0,0.1861588610071893,0.0,0.006379033789009798,0.26408573650896994,0.284721083919256,0.37518702723783137,0.12395330613517005
ENSDART00000168735,0.5054464764758253,0.0,0.0,0.0,0.04740467988653492,0.0,0.3967580692682125,0.0,0.24454938363460824,0.21439479902619818
PIN1,0.46450453350922566,0.0,0.19956534654298846,0.09358850984843577,0.018775009589250397,0.0,0.5619146732076864,0.09424343037497401,0.44037432228947254,0.34406069004749656
P4HB,0.9676794555283508,0.09126248330546963,0.11676815192152527,0.11191117112043306,0.012595107973078019,0.024270812132528633,0.6305217447635907,0.47584817311580563,0.09253362916753,0.2213410466395127
SDC3,0.455064846972853,0.0,0.0,0.3028795819256643,0.29787718133647156,0.1241286675650395,0.6195910547059567,0.26461810510323514,0.5584734280896646,0.01342083578701711
SI:CH211-271G18.4,0.8140005439960329,0.0,0.0,0.13710488059149317,0.07118139683743174,0.10615225903511562,0.23065090948317488,0.3243945107505639,0.4183237712532759,0.03818759679908392
SI:DKEY-23A13.4,0.5003930888809746,0.0,0.07072511656198946,0.21827599927855104,0.06847028309691798,0.0,0.964340951975023,0.1435639429146888,0.5449046950066443,0.0808522155828275
ACTR3,0.41464750560383484,0.0,0.14441961861716177,0.18621291130420028,0.0785251039584083,0.03744501708782641,0.5610737371662518,0.16260026791443327,0.5651692719469534,0.27805800526384283
TBC1D13,0.7429241619119444,0.0,0.0,0.2730473573505263,0.09656236814946198,0.0017389395934685073,0.28916538620566573,0.18352486962313008,0.3882304304155605,0.0
SI:CH211-113A14.26,0.0857416424967677,0.0,0.0,0.1603849842373338,0.1789112762915177,0.3258723699345941,0.5693934881863771,0.5165685949184284,0.4225975950234946,0.27454671222230675
PPIL1,0.579377664577859,0.07053879870821807,0.03402352561084593,0.3113983884376233,0.16822006099767275,0.0,0.6836096797226413,0.1685379063293515,0.5364408944172248,0.012792010774724884
PRPSAP1,0.3724413473591945,0.06488910493184087,0.32873743479844114,0.029401648585699672,0.20070178552951617,0.03994923322614058,0.5534844564387772,0.08672798392545078,0.28610749775875466,0.2728250487667272
RRAGA,0.5970909632427598,0.0,0.0,0.14393861129009744,0.15301199686311584,0.08353699865853716,0.3629193842270929,0.2919553918520277,0.08122415404482346,0.09936892054566672
RAP2C,0.5732530906267075,0.0,0.32479184047626974,0.13513864415640672,0.28044810135568254,0.1809016689709847,0.46004269838916073,0.38252670107643755,0.36387989131159854,0.10717129847036964
